food_name,serving_size_g,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,calcium_mg,iron_mg,vitamin_a_mcg,vitamin_c_mg,category,meal_type,vegetarian,vegan,gluten_free
adhirasam,50,180,3.2,28.5,6.8,1.2,15.3,25,35,1.8,12,0,dessert,snack,true,false,true
aloo_gobi,200,145,4.5,22.8,5.2,4.1,8.5,420,45,2.1,185,28,vegetable,lunch,true,true,true
aloo_matar,180,165,5.8,26.4,4.9,5.2,9.1,385,52,2.4,145,22,vegetable,lunch,true,true,true
aloo_methi,150,138,4.2,19.8,5.1,3.8,6.2,350,58,2.8,285,18,vegetable,lunch,true,true,true
aloo_shimla_mirch,170,142,3.8,22.1,4.8,4.2,7.8,365,38,1.9,195,45,vegetable,lunch,true,true,true
aloo_tikki,80,185,4.1,25.6,8.2,2.8,3.4,480,32,1.6,85,12,snack,snack,true,false,true
anarsa,40,165,2.8,24.8,6.5,1.1,18.2,15,28,1.2,8,0,dessert,snack,true,false,true
ariselu,45,175,3.1,26.5,7.2,1.3,19.8,18,32,1.4,10,0,dessert,snack,true,false,true
bandar_laddu,35,158,3.5,22.8,6.8,1.8,16.5,22,42,1.6,15,2,dessert,snack,true,false,true
basundi,150,195,6.8,28.5,6.2,0.2,26.8,85,185,0.8,125,3,dessert,dessert,true,false,true
bhatura,120,285,8.2,42.5,9.8,2.1,2.8,620,48,2.2,18,1,bread,lunch,true,false,false
bhindi_masala,180,125,4.2,18.5,4.8,5.2,6.8,385,88,1.8,165,28,vegetable,lunch,true,true,true
biryani,300,420,18.5,58.2,12.8,3.2,8.5,980,85,3.8,125,15,rice,lunch,false,false,true
boondi,60,185,4.8,22.5,8.9,2.1,12.8,280,58,2.2,48,5,snack,snack,true,false,true
butter_chicken,250,385,28.5,12.8,26.2,2.1,9.5,1250,95,2.8,285,18,curry,dinner,false,false,true
chak_hao_kheer,200,245,6.2,42.8,5.8,1.8,35.2,65,125,2.2,85,8,dessert,dessert,true,false,true
cham_cham,80,185,4.8,32.5,4.2,0.8,28.5,45,88,1.2,65,2,dessert,dessert,true,false,true
chana_masala,200,215,12.8,28.5,6.8,8.2,9.5,820,85,4.2,185,22,legume,lunch,true,true,true
chapati,60,142,4.5,28.2,2.1,3.8,1.2,285,25,1.8,0,0,bread,lunch,true,true,false
